date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:57	392306/392306	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/fonts/fontawesome-webfont5b62.svg	(from http://httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/css/font-awesome.min.css)
10:26:57	16760/16760	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jun%202018%2004:57:45%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/owlcarousel/owl.video.play.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/owlcarousel/owl.video.play.56.delayed	(from http://httpcoder.com/demo/html/foodking/view/assets/libs/owlcarousel/owl.carousel.min.css)
10:26:58	3518/3518	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/quote.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/quote.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:00	7230/7230	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/zikzak-bottom-white.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/zikzak-bottom-white.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:03	90412/90412	---M--	200	added ('OK')	application/x-font-woff	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/fonts/fontawesome-webfont5b62.woff	(from http://httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/css/font-awesome.min.css)
10:27:16	152796/152796	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/fonts/fontawesome-webfont5b62.ttf	(from http://httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/css/font-awesome.min.css)
10:27:26	61231/61231	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/about-top-left.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/about-top-left.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:37	64383/64383	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/about-top-right.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/about-top-right.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:39	7216/7216	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/zikzak-top-white.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/zikzak-top-white.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:41	228705/228705	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/zikzak-bg.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/zikzak-bg.jpg	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:50	312224/312224	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/typed-bg.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/typed-bg.jpg	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:52	7249/7249	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/zikzak-top-ash-light.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/zikzak-top-ash-light.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:27:54	7235/7235	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/zikzak-bottom-ash-light.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/zikzak-bottom-ash-light.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
